id;NomFournisseur;AddressFournisseur;idPays;idPaysLivraison;DateLivraison;TempsLivraison;Qte;PrixCommande
655;Michael Montgomery Hair Saloon;3344 Beachwood Ln.;25;6;01/12/1986 22:27;54:56.0;23528;42404.3502
656;Lee Stairworks and Carpentry,;1715 Chicago Ave.;21;1;24/07/1982 03:55;33:20.0;14708;90250.3002
657;Keep Cool Air Conditioner Repa;120 high St.;27;18;22/01/2005 16:02;20:00.0;33786;56005.422
658;Kermit the Pet Shop;445 Park Ave.;33;48;19/09/1980 17:02;26:40.0;15720;41366.12
659;Shaggy's Grooming Services;654 Walnut Rd.;7;44;23/06/2001 10:33;33:20.0;89420;63248.3253
660;Crossroads Construction, Inc.;1155 Ridgewood Drive;17;46;19/03/1993 16:53;48:16.0;51068;48954.3778
661;Block Boats and Lures;210 Cresant Rd.;6;44;10/02/2000 13:07;54:56.0;48440;15792.3749
662;Parkway Auto Body;1287 Glencoe Ave.;28;35;06/07/1992 23:00;06:40.0;16893;73376.789
663;Air Indonesia;120 high St.;2;48;12/04/1980 22:42;20:00.0;40920;97628.8713
664;Tub's Furniture Store;12 Walker Ave.;10;25;21/06/1982 18:08;00:00.0;65488;5237.5382
665;Dean Grant Buick and Crysler;3100 Trailer Way;26;21;22/03/1972 08:13;41:36.0;56800;24859.7196
666;Eva Galler Galleries Inc.;854 Woodbine;15;27;19/07/1983 11:53;13:20.0;33289;8236.6792
667;Pete's Auto Repair;2024 St.Johns Ave.;15;33;23/11/2000 14:53;06:40.0;8661;13408.9914
668;Sigman and Freud Psychiatry;618 Sheriden rd.;49;7;07/05/1993 08:33;13:20.0;48042;90254.0704
669;Johnson, Erico & Co CPA's;1770 first St.;17;17;12/02/1990 05:20;34:56.0;81546;84248.2594
670;Hibop Heating and Air Conditio;2224 Sherman Rd.;40;6;10/08/1980 04:48;00:00.0;66000;35840.7688
671;Chicagoland Cleaners;2045 St. johns Ave.;17;28;30/12/2003 16:00;13:20.0;81210;3520.649
672;John G. Hartling Ltd.;1701 W. Mellody Rd.;17;2;14/10/1996 03:27;41:36.0;57652;22912.9532
673;MedicServe Medical Supply;600 Central Ave;17;10;11/03/2000 00:27;26:40.0;62063;93600.275
674;Lidhal design Corp.;1658 Second St.;48;26;20/08/1990 05:42;46:40.0;97692;13312.1133
675;Hibop Heating and Air Conditio;38976 Forest View Rd.;35;15;16/02/1972 22:28;40:00.0;15806;61624.5822
676;Lickmen Restoration;12 Craven Way;16;15;24/07/2002 00:35;28:16.0;79338;31200.4656
677;Nel Video Productions;4522 N. Greenview Apt. 1B;18;49;10/08/1994 15:02;06:40.0;55696;82420.156
678;Truck-X Muffler Repair;1660 Park Ave.;38;17;10/12/1999 04:27;01:36.0;5813;27410.518
679;DBN Bank;266 Green Bay Rd.;41;40;27/08/1980 13:28;48:16.0;34060;73728.7224
680;Bako Delicatessen;1270 Linden Ave.;5;17;17/05/1986 08:47;00:00.0;43655;7862.0812
681;Crossroads Construction, Inc.;2024 St.Johns Ave.;27;17;19/11/1987 22:40;53:20.0;24560;1480.4492
682;Mac Computer Warehouse;1858 Balsam Way;1;17;28/03/2005 20:40;40:00.0;17088;86790.9395
683;Smith Communications Inc.;2267 Anderson Lane;7;48;13/11/2006 06:40;41:36.0;56316;51177.9368
684;Keep Cool Air Conditioner Repa;857 Woodbine Rd;20;35;29/08/1978 09:28;01:36.0;53757;25776.708
685;Venturi Discount Drugs;1126 Hillcrest Ave;14;16;22/04/1992 00:47;14:56.0;85600;79056.9898
686;Doerner's Awnings and Canopies;671 Blackstone Ave.;12;18;10/11/1992 20:28;14:56.0;47560;35024.9265
687;Highland Lanes;1750 Lily Court;32;38;28/11/1982 10:28;20:00.0;26480;8586.1948
688;Air France;600 Central Ave;50;41;06/03/2000 04:55;40:00.0;12210;23808.3773
689;Hibop Heating and Air Conditio;368 Woodland Rd.;27;5;10/10/1997 17:13;48:16.0;92983;68273.562
690;Gordon & Son Brockerage Ltd.;3062 Lindenwood Ln.;42;27;20/11/1977 07:47;06:40.0;66069;59268.1232
691;Nirabi Auto Service;872 Virginia Rd.;3;1;10/09/2006 15:53;33:20.0;14308;1520.2004
692;Cotton Thumb Ltd.;135 Lakewood place;14;7;17/07/1993 10:07;53:20.0;30226;25740.8372
693;Doerner's Awnings and Canopies;1715 Chicago Ave.;50;20;06/02/1992 18:13;20:00.0;29550;54577.8206
694;janice Mann Accounting Service;1220 Heather Lane;38;14;13/05/2005 07:55;00:00.0;89728;78720.854
695;Quad City Cleaning;1920 Sunnyside Ave.;3;12;30/10/2000 02:53;00:00.0;84890;21273.2046
696;Terrinni & Son Auto and Truck;2479 Woodridge Drive;46;32;06/08/2007 03:28;13:20.0;5552;8228.6272
697;Futoons Cartoons Emporium;456 Groverland Ave.;5;50;18/09/2003 07:42;33:20.0;39595;60338.7401
698;Car Suite Cleaners;969 Saxony Drive;37;27;01/01/1993 03:47;28:16.0;99816;70100.7328
699;Air India;334 Lynn Terrace;18;42;09/04/1994 15:00;00:00.0;55980;97768.9676
700;Garfield Appliance Service;175 beech St.;5;3;25/05/2000 18:07;20:00.0;8085;45050.6591
701;Ebert Music Center;839 Burton Ave;48;14;27/10/1974 10:00;14:56.0;14839;74616.4016
702;PGS Associates;1101 Deerfield Place;5;50;23/02/2006 09:07;01:36.0;76640;51330.9672
703;Hi-Land Art & Frame;614 green bay Rd.;3;38;20/03/1980 11:33;28:16.0;37460;37362.2464
704;American Deli Workers Union;1287 Glencoe Ave.;18;3;21/10/2005 14:07;00:00.0;37764;67390.3734
705;Truck-X Muffler Repair;1077 Court Ave.;9;46;15/12/1990 11:20;13:20.0;51976;3752.7082
706;North West Gas Co.;872 Virginia Rd.;7;5;02/07/2004 08:07;48:16.0;55680;2170.1937
707;Schmidt Denists;2505 Allison ct.;42;37;12/11/1971 13:20;20:00.0;38209;31150.1128
708;Dapper's Antiques;812 North Ave.;24;18;18/12/2004 14:15;46:40.0;60604;7328.3764
709;Pete's Auto Repair;1715 Chicago Ave.;28;5;08/06/2002 13:27;33:20.0;97800;77089.8116
710;Cosmo Skin Care Center;445 Park Ave.;41;48;01/10/2001 07:02;20:00.0;79940;44800.7076
711;Facelift Kitchen and Bath;807 Old Trail Rd.;8;5;15/09/1999 13:53;34:56.0;53904;85104.122
712;Esmarda Chemical Manufacturers;241 Callan Rd.;43;3;15/05/2005 15:28;06:40.0;52872;57113.6039
713;Got It All Electronics Supply;886 Yale Lane;29;18;02/03/1993 19:20;14:56.0;83981;45976.1885
714;Resnick DDS;1155 Ridgewood Drive;20;9;09/07/2000 00:47;20:00.0;96400;28684.961
715;MedicServe Medical Supply;844 Spruce St.;7;7;19/08/1971 06:22;53:20.0;62240;58504.32
716;Lee Stairworks and Carpentry,;4763 Blackhawk Rd.;41;42;13/06/2000 13:40;46:40.0;48891;88630.895
717;Acme Chemical Supply;854 Woodbine;7;24;24/12/1990 08:28;06:40.0;32850;56503.2172
718;Glenwood Credit Union;3901 Chester Ave. Apt. 3C;12;28;01/03/2002 16:27;41:36.0;99839;83518.0762
719;Myles Building Consultants;445 Park Ave.;1;41;17/08/1993 23:42;41:36.0;16249;17714.4191
720;Chicagoland Cleaners;3160 Summit Ave.;46;8;27/08/1983 03:40;46:40.0;42050;58692.2791
721;Garfield Appliance Service;225 Jeffrys Place;18;43;05/08/1983 20:33;20:00.0;29210;2080.1715
722;Highland Woods City Hall;511 Hill;42;29;19/03/1971 10:42;01:36.0;71341;50750.026
723;Ampro Office Team Ltd.;218 Oakridge Ave.;17;20;20/03/1992 02:53;20:00.0;41360;87468.7695
724;Glassman & Stone;3478 Bryn Mawr St.;45;7;11/11/2002 18:27;14:56.0;96450;57340.4064
725;Air Guatamala;669 Kikaid;47;41;23/02/1974 04:55;06:40.0;70558;21832.3564
726;Got It All Electronics Supply;2644 Princeton Ln.;44;7;25/05/1975 15:27;40:00.0;75452;40425.0576
727;Brand Y Creative Services;581 Hill St. Apt. 234;29;12;08/12/2000 18:55;26:40.0;65680;99566.193
728;Got It All Electronics Supply;899 Harvard Ct;37;1;06/11/2000 09:08;40:00.0;86744;69204.9316
729;Childress Child Day Care;899 Harvard Ct;19;46;26/01/1977 11:48;33:20.0;17750;9742.306
730;Crossroads Construction, Inc.;433 Burton Ave.;24;18;04/08/2003 04:22;46:40.0;40904;79370.4832
731;Lennox Air Pollution Control;629 Kincaid Ave.;44;42;04/10/1986 17:28;20:00.0;23196;33384.7828
732;Percy Photography;628 Orwenstensia;21;17;08/01/2006 09:35;41:36.0;97600;81686.442
733;Esmarda Chemical Manufacturers;629 Kincaid Ave.;37;45;09/06/1978 18:07;26:40.0;19686;79061.5443
734;Elm Place Business Supplies;1547 Vine;38;47;17/03/1980 16:53;34:56.0;32947;1224.0152
735;Gordon & Son Brockerage Ltd.;1915 Lewis Ln.  Apt 13;37;44;31/08/2000 09:15;20:00.0;37368;29265.2878
736;Dean Barnett Furniture Repair;12 Craven Way;34;29;21/11/2003 01:35;54:56.0;83966;53017.006
737;Froggy's Gourmet Catering;4467 Sheridan Rd.;25;37;22/01/2002 22:40;33:20.0;2280;58550.5993
738;Meonits & Mogogni Inc.;43078 Kennedy Dr.;47;19;19/09/1999 01:13;28:16.0;87038;64640.3767
739;Auto Interior Carpeting Compan;224  Highwood Ave.;10;24;10/06/1975 11:15;54:56.0;90339;45848.7618
740;Gordon & Son Brockerage Ltd.;654 Walnut Rd.;44;44;09/11/2001 13:33;28:16.0;11660;30594.0799
741;Hibbard Road Suppliers;45 South Deer Creek Drive;35;21;21/12/1982 06:27;06:40.0;1345;96159.0564
742;Keyth Contracting and Repair;1658 Second St.;13;37;08/02/2001 06:13;48:16.0;63077;26862.197
743;Salt & Pepper Catering Service;201-C Frontage Rd.;33;38;16/08/2006 07:15;46:40.0;47750;92324.5532
744;Metro Appliance Service;456 Groverland Ave.;17;37;01/01/1970 07:35;33:20.0;60164;73264.3328
745;Air India;334 Lynn Terrace;10;34;23/09/2001 13:40;34:56.0;2176;2331.2768
746;Trapezoid Studios;511 Maple Ave.  Apt. 1B;38;25;28/09/2002 09:00;54:56.0;5968;53604.4683
747;Kapp Camera and Video;218 Oakridge Ave.;23;47;07/05/2004 04:20;48:16.0;78420;35656.4646
748;Innman Paint and Glass;574 Chicago Ave.;16;10;11/12/1978 04:53;20:00.0;52510;48240.83
749;Hoffman Printing Center;21 Lakeview Terrace #2312;19;44;11/06/2000 06:35;28:16.0;29851;86342.4116
750;Bill's Dive Shop;201-C Frontage Rd.;9;35;08/01/1990 12:00;20:00.0;96258;48108.3408
751;Smith Communications Inc.;1535 Knollwood Drive;32;13;14/09/2001 21:40;00:00.0;56690;37750.4
752;Crosstracks Car Wash;632 Florence Dr.;8;33;10/02/2004 08:00;20:00.0;480.2;76909.44
753;Hoffman Printing Center;2267 Anderson Lane;32;17;13/03/2004 04:27;46:40.0;37446;31826.3113
754;Hoffman Printing Center;45 South Deer Creek Drive;7;10;20/03/2004 10:42;28:16.0;54000;96640.1788
755;Pivot Point College;2922 Twin Oaks Drive;18;38;08/05/2000 11:40;08:16.0;96624;73885.6602
756;Green Shoes Corp.;1875 Roger Williams Ave.;10;23;16/05/2001 01:27;33:20.0;6724;35795.7326
757;Highland Heights Gift Shop;2479 Woodridge Drive;26;16;13/04/2002 04:08;06:40.0;57049;61528.345
758;janice Mann Accounting Service;1245 Eastwood;35;19;30/12/2000 15:47;48:16.0;44776;38624.544
759;Bee Line Publishing;2870 Skokie Rd.;3;9;29/06/1993 14:20;40:00.0;78515;38901.5668
760;Highland Lanes;614 green bay Rd.;31;32;15/09/1971 17:27;08:16.0;37220;87143.632
761;Foy Aviation;210 Cresant Rd.;46;8;15/11/2005 08:13;46:40.0;29308;45308.9179
762;Smith & Wesson Militia;3478 Bryn Mawr St.;37;32;10/08/2006 05:53;33:20.0;49805;65638.1729
763;Nina's Snow Plowing;1450 Harding Ave.;11;7;02/02/2000 11:33;41:36.0;85928;34120.4986
764;K L Consulting;1 Twin Oaks Place;34;18;11/03/1996 06:55;06:40.0;44200;93018.3878
765;Froggy's Gourmet Catering;3059 Priscilla Court;37;10;07/02/1983 21:07;41:36.0;83702;31103.334
766;Kermit the Pet Shop;2112 Ravine Drive;30;26;01/10/1971 02:08;00:00.0;44032;56143.4328
767;Vecot Inc.;600 Central Ave.;34;35;14/05/1987 22:48;48:16.0;44072;55125.7639
768;Schnitzer Denist College;726 White Oaks Ave.;9;3;06/03/2003 19:22;13:20.0;74237;36192.0053
769;Metro Appliance Service;669 Kikaid;1;31;21/11/2004 23:22;01:36.0;20116;35625.4616
770;Michael Montgomery Hair Saloon;433 Burton Ave.;29;46;09/03/1971 00:42;46:40.0;17615;19776.4271
771;Mail Boxes Et. Al.;456 Groverland Ave.;14;37;04/11/2001 18:53;48:16.0;64740;73966.2392
772;Metro Appliance Service;654 Walnut Rd.;46;11;03/07/1982 07:55;13:20.0;67120;94895.6698
773;Tub's Furniture Store;115 Pleasent Ave.;18;34;23/07/1990 03:27;08:16.0;29414;34208.8168
774;Kermit the Pet Shop;1077 Court Ave.;14;37;09/09/1982 07:13;21:36.0;38670;60784.895
775;Keyth Contracting and Repair;1777 balsamic Ave.;43;30;04/11/2006 02:55;28:16.0;60773;76654.7472
776;Gourmet the Frog;1777 balsamic Ave.;9;34;13/07/1970 15:28;33:20.0;39202;80130.7519
777;Cotton Thumb Ltd.;1752 Clinton Ave.;26;9;24/12/1994 00:02;26:40.0;56075;89728.3836
778;Pasifico Inc.;1535 Knollwood Drive;2;1;09/03/1982 13:08;46:40.0;26576;39375.6944
779;Futoons Cartoons Emporium;1912 Old Briar Lane #2;16;29;11/12/2002 00:42;41:36.0;94604;8483.1012
780;Vecot Inc.;1715 Chicago Ave.;25;14;04/06/1971 17:13;26:40.0;57834;16119.045
781;Morgan Construction Co;969 Saxony Drive;21;46;05/12/2001 01:35;33:20.0;48281;63360.7394
782;Air Mexico;1704 Ridgelee Rd;15;18;12/05/1977 16:47;46:40.0;56070;68062.262
783;Hibbard Road Suppliers;2267 Anderson Lane;38;14;21/02/1998 22:27;46:40.0;57832;35899.3505
784;Chicagoland Cleaners;1337 Cavell Ave.;18;43;11/02/1970 04:53;08:16.0;56232;58634.8975
785;Cradle the Call;1270 Linden Ave.;10;9;20/09/1980 20:48;40:00.0;93201;88072.0487
786;Moveit Motercycle Service;2220 Grant Blvd.;3;26;17/03/1998 02:00;21:36.0;47567;29273.5148
787;Highland Lanes;865 Old Tall Tree Lane;5;2;18/10/2005 14:33;33:20.0;89737;60880.0563
788;DBN Bank;1 Twin Oaks Place;25;16;28/12/2000 03:33;41:36.0;44470;83104.7333
789;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;5;25;07/05/1990 07:00;41:36.0;53428;2055.3848
790;Crosstracks Car Wash;1185 County line Rd.;20;21;29/09/1982 16:07;08:16.0;15327;81015.3611
791;Chicagoland Cleaners;1860 Parkside Ln.;17;15;13/06/2002 23:15;34:56.0;8936;19300.5672
792;Myles Building Consultants;3100 Trailer Way;28;38;27/10/2004 05:40;21:36.0;8204;22628.007
793;Maintence Services of Maine;1185 County line Rd.;30;18;06/08/1974 23:27;34:56.0;27467;84080.124
794;Cutter Lawn Mower Repair;1019 Deerfield Rd.;28;10;21/07/2006 01:27;46:40.0;60775;10856.792
795;Cradle the Call;139 Bay Colony Dr.;47;3;26/09/1972 13:53;08:16.0;55718;14549.078
796;Energy Source Diet Centers;465 Stratford Rd.;40;5;10/05/1996 12:22;26:40.0;70000;50812.3146
797;Froggy's Gourmet Catering;1770 first St.;48;25;13/01/2006 20:53;34:56.0;71783;74674.507
798;Innman Paint and Glass;456 Groverland Ave.;23;5;15/02/1970 10:55;40:00.0;95404;47020.5332
799;K L Consulting;839 Burton Ave;11;20;18/05/1983 11:00;33:20.0;68313;61522.5426
800;Arthur M. Feildberg Galleries;4467 Sheridan Rd.;44;17;12/05/1971 02:33;33:20.0;54748;41576.008
801;Nyman Interior Design;2644 Princeton Ln.;41;28;10/02/1985 16:13;53:20.0;74070;52994.2459
802;Doll House Rock;899 Harvard Ct;20;30;30/12/2004 04:02;33:20.0;79394;45970.771
803;Lambert & Locke Legal Services;673 Calais Drive;16;28;30/07/1996 12:48;26:40.0;23291;48032.1795
804;Kosmo Consulting;35 Glenlake Dr.;36;47;21/03/1970 09:33;54:56.0;27772;36696.4864
805;Myers Chocolates and Confectio;1658 Second St.;17;40;10/11/2001 18:15;20:00.0;2728;49760.432
806;Terrinni & Son Auto and Truck;1658 Second St.;47;48;20/08/1971 02:33;06:40.0;64818;80314.97
807;Elle Hypnosis and Therapy Cent;1954 First St.;38;23;27/12/1985 02:53;08:16.0;41532;16660.8835
808;Pasifico Inc.;43078 Kennedy Dr.;9;11;22/05/1971 03:28;14:56.0;79210;54052.9532
809;Griffith Paving and Sealcoatin;368 Woodland Rd.;27;44;19/08/2001 10:20;48:16.0;74357;40662.09
810;American Apartments;2224 Sherman Rd.;43;41;25/06/1978 13:55;06:40.0;29365;11964.1926
811;Glenn Oaks Office Supplies;115 Judson Rd.;4;20;23/07/1993 21:40;26:40.0;10260;43720.7191
812;Dean Grant Buick and Crysler;812 North Ave.;24;16;03/02/2001 22:42;33:20.0;95550;44771.2292
813;Glassman & Stone;4763 Blackhawk Rd.;34;36;15/11/1982 16:55;08:16.0;91110;19780.204
814;Kapp Camera and Video;844 Spruce St.;20;17;27/03/1993 10:15;06:40.0;13059;79792.003
815;Dapper's Antiques;45 South Deer Creek Drive;46;47;29/03/2000 17:33;06:40.0;26580;74533.336
816;Smith Communications Inc.;310 Walker Ave.;26;38;13/09/2006 11:00;41:36.0;66166;22100.3228
817;Acme Chemical Supply;1547 Knolwood Rd.;18;9;28/07/1990 02:08;00:00.0;61488;13440.3296
818;Highland Woods City Hall;917 Fairview Ave.  Apt. 982;23;27;09/04/2006 13:27;08:16.0;34526;30722.3924
819;Mail Boxes Et. Al.;1155 Ridgewood Drive;3;43;15/10/2004 01:27;13:20.0;45360;9980.1225
820;Toggle & Myerson Ltd;3148 cottonwood Ct.;32;4;07/01/2003 22:28;53:20.0;49757;81720.7012
821;Quad City Cleaning;5518 Madison St.;26;24;11/10/1987 06:08;26:40.0;78582;2180.3808
822;Funnyface Amusement Games;22 Clay rd.;23;34;11/12/1971 19:22;00:00.0;35277;84416.2705
823;Nel Video Productions;839 Burton Ave;8;20;07/02/1990 14:13;26:40.0;39904;1422.756
824;Woodworks Co.;628 Orwenstensia;33;46;26/04/2003 15:28;08:16.0;14461;51475.3556
825;janice Mann Accounting Service;629 Kincaid Ave.;50;26;10/09/1983 01:00;13:20.0;18008;80607.9719
826;Glassman & Stone;3062 Lindenwood Ln.;17;18;05/05/1990 18:08;06:40.0;79230;16068.9568
827;Highland Lanes;266 Green Bay Rd.;27;23;05/04/1978 12:28;46:40.0;51428;21106.1242
828;Dependable Plumbing and Sewer;669 Kikaid;21;3;15/06/1992 17:55;20:00.0;15272;44135.3112
829;Pete's Auto Repair;1287 Glencoe Ave.;40;32;10/09/2000 03:00;21:36.0;7688;86180.6413
830;Deer Lake Inn;367Bluebird Terr.;40;26;27/03/1971 05:33;08:16.0;20164;81980.008
831;Sigman and Freud Psychiatry;54 Lakeview Terrace;19;23;20/11/2003 22:28;06:40.0;69962;73805.0744
832;Hibbard Road Suppliers;12 Fort Sheriden Ave.;25;8;29/06/1987 02:08;53:20.0;34228;37770.9216
833;Woodworks Co.;3150 Skokie Valley Rd.;48;33;11/10/2000 17:40;33:20.0;99574;63570.842
834;Cradle the Call;1714 Clifton Rd.;33;50;27/08/1982 13:40;46:40.0;55700;85730.248
835;Resnick DDS;433 Burton Ave.;10;17;30/12/2000 18:42;00:00.0;24937;7270.9238
836;Masterlands Cleaning;367Bluebird Terr.;24;27;05/07/2000 16:08;48:16.0;88996;48270.836
837;Truck-X Muffler Repair;2112 Ravine Drive;12;21;13/05/1994 12:08;13:20.0;28636;76035.8694
838;BBQ Smith's Tex Mex;3487 Green Bay Rd.;32;40;01/03/1990 21:35;53:20.0;8384;31265.871
839;Griffith Paving and Sealcoatin;2024 St.Johns Ave.;46;40;06/02/1986 07:47;06:40.0;58029;61320.2912
840;Flinn Mosquito and Pest Contro;1337 Cavell Ave.;6;19;18/05/1985 02:22;46:40.0;90728;22510.3284
841;Terrinni & Son Auto and Truck;115 Judson Rd.;33;25;26/10/1980 09:20;20:00.0;97800;23390.4312
842;Myles Building Consultants;632 Florence Dr.;10;48;03/12/1987 03:20;54:56.0;99240;794.2875
843;Loyal Order of Buffalo;844 Spruce St.;10;33;13/01/2005 18:53;08:16.0;94013;40800.639
844;Libra & Sons;788 Tennyson Ave.;32;10;05/07/1989 01:00;08:16.0;82696;30336.4365
845;Salt & Pepper Catering Service;456 Groverland Ave.;48;24;09/05/2000 06:47;20:00.0;19637;69868.688
846;Camp Oconomowoc;965 Marion Place Apt. 65C;39;12;28/10/1974 21:22;20:00.0;15536;48142.2746
847;Jay's Cabinet Company;632 Roger Williams;40;32;03/11/2000 02:28;53:20.0;83552;8760.9365
848;Mergenthaler Inc.;1482 Concorde Circle;19;46;26/04/2002 08:35;53:20.0;24904;87553.7666
849;Acturial Enterprises Ltd.;512 Hill;24;6;26/01/1980 09:35;21:36.0;58690;71394.173
850;Highland Lanes;1287 Glencoe Ave.;43;33;29/04/1972 01:47;53:20.0;6918;66432.8533
851;Vecot Inc.;1077 Court Ave.;43;10;15/09/2005 17:00;00:00.0;35625;65624.522
852;Percy Photography;231 Sheriden Rd.;44;10;16/05/1972 22:33;13:20.0;92741;46384.332
853;Gordon & Son Brockerage Ltd.;5518 Madison St.;32;32;19/03/2003 18:53;46:40.0;22975;19059.6867
854;Glenwood Credit Union;218 Oakridge Ave.;36;48;19/08/1998 05:13;26:40.0;56368;20000.9471
855;Griffith Paving and Sealcoatin;1245 Eastwood;42;39;24/08/2003 05:40;48:16.0;64931;45387.7952
856;P K M Packaging Supply;12 Craven Way;30;40;22/01/2007 21:07;53:20.0;32476;54091.4128
857;Trapezoid Studios;1270 Linden Ave.;34;19;26/09/1990 06:35;21:36.0;39378;13420.0488
858;Froggy's Gourmet Catering;1831 Beverly Place #9D;4;24;26/08/1989 03:00;41:36.0;91144;71552.3152
859;Dependable Plumbing and Sewer;1550 Ridge Rd.;25;43;29/09/1987 16:22;13:20.0;46727;42789.6304
860;Lickmen Restoration;1235 Easton Rd.;40;43;15/07/2006 06:33;01:36.0;86162;40432.975
861;Acturial Enterprises Ltd.;3148 cottonwood Ct.;18;44;20/05/2002 05:02;41:36.0;89872;78996.9145
862;Rythmics Ltd.;857 Woodbine Rd;30;32;30/12/1972 10:40;33:20.0;49362;19374.0183
863;Acturial Enterprises Ltd.;1482 Concorde Circle;48;36;03/12/1983 19:22;21:36.0;94659;72430.977
864;Crosstracks Car Wash;218 Oakridge Ave.;39;42;08/08/1972 14:08;53:20.0;20175;61270.7205
865;Meonits & Mogogni Inc.;616 Cobblestone Cir.;17;30;13/05/1993 22:08;06:40.0;36241;41287.272
866;Foy Aviation;2220 Grant Blvd.;50;34;30/06/1993 18:07;00:00.0;8957;72744.2096
867;Ebert Music Center;12 Broadview Lane;29;4;09/05/1989 15:28;20:00.0;18124;45494.7462
868;janice Mann Accounting Service;1660 Park Ave.;9;25;01/12/1994 16:40;48:16.0;91239;55789.0512
869;Johnson, Erico & Co CPA's;2922 Twin Oaks Drive;40;40;31/03/1997 09:20;26:40.0;88764;19483.7911
870;Corbins, Rodriguez, & Savocchi;115 Pleasent Ave.;18;18;12/05/2002 11:40;46:40.0;37910;75681.7031
871;Nina's Snow Plowing;3385 University Ave.;20;30;02/09/2000 14:07;53:20.0;36777;98360.137
872;Darcy Frame and Matting Servic;1101 Deerfield Place;47;48;21/03/1970 00:28;46:40.0;7200;95831.0316
873;Marks, Marks, and Kaplan Ltd.;1949 Cloverdale Rd.;9;39;18/09/1982 02:20;06:40.0;68262;73070.9657
874;Air India;511 Hill;38;17;18/11/2001 20:42;08:16.0;80920;34448.4657
875;Nitelites Party Rental;1660 Park Ave.;34;50;28/08/2004 08:48;21:36.0;77860;44814.9488
876;Dean Barnett Furniture Repair;616 Cobblestone Cir.;9;29;05/03/2003 21:33;54:56.0;24426;70844.0568
877;Air France;1019 Deerfield Rd.;1;9;10/08/1983 22:47;06:40.0;47569;2340.9704
878;Metro Appliance Service;929 Brittany Ave.;16;40;26/04/2004 11:35;26:40.0;95055;7488.4836
879;Got It All Electronics Supply;2870 Skokie Rd.;13;18;16/04/1987 09:27;53:20.0;50120;58100.2676
880;Nitelites Party Rental;2505 Allison ct.;23;20;09/08/2004 20:22;13:20.0;49690;69584.956
881;Glenn Oaks Office Supplies;965 Marion Place Apt. 65C;37;47;25/06/1998 19:40;53:20.0;68752;50006.8803
882;George Lee Antiques;872 Virginia Rd.;15;9;04/03/1989 15:08;26:40.0;54310;29576.996
883;Lutz Soft Cloth Car Wash;1704 Ridgelee Rd;47;38;13/05/2004 17:55;21:36.0;57924;4505.0395
884;Lee Stairworks and Carpentry,;1875 Roger Williams Ave.;19;34;27/04/2004 22:07;14:56.0;40584;85920.6124
885;Darcy Frame and Matting Servic;1619 Judson Ave. Apt #34B;17;9;15/01/1986 19:07;54:56.0;45848;92335.3175
886;Masterlands Cleaning;3062 Lindenwood Ln.;44;1;02/07/2006 01:27;40:00.0;99926;11635.114
887;Pac Builders;425 Lake Ave.;36;16;12/09/2006 07:13;13:20.0;74238;20316.6805
888;Crosstracks Car Wash;302-A Crestwood Village Rd.;38;13;15/06/2004 12:47;53:20.0;58140;86207.4424
889;Doll House Rock;788 Tennyson Ave.;44;23;18/11/1974 09:47;01:36.0;5039;46602.0575
890;Corbins, Rodriguez, & Savocchi;632 Florence Dr.;11;37;29/07/2006 16:07;40:00.0;60564;89016.5816
891;DBN Bank;1920 Sunnyside Ave.;1;15;22/06/1971 09:28;01:36.0;58312;62567.375
892;Funnyface Amusement Games;201-C Frontage Rd.;6;47;30/01/1986 09:07;26:40.0;43550;80442.6909
893;DBN Bank;1875 Roger Williams Ave.;14;19;16/06/2000 22:33;21:36.0;71225;52291.569
894;Keyth Contracting and Repair;1660 Park Ave.;49;17;13/02/1985 07:22;06:40.0;32905;53616.0742
895;Myers Chocolates and Confectio;1975 elmwood Circle;14;44;11/01/1993 13:47;33:20.0;38616;92166.4853
896;North West Gas Co.;1486 Old Deerfield Rd.;18;36;09/03/1993 06:53;41:36.0;34830;44478.4552
897;Glenn Oaks Office Supplies;1701 W. Mellody Rd.;39;38;03/07/1978 08:47;08:16.0;86455;3092.0397
898;Hibop Heating and Air Conditio;201-C Frontage Rd.;18;44;07/04/2004 04:27;46:40.0;14110;67432.7533
899;Kapp Camera and Video;242 Ashland Ave.;29;11;05/02/2003 20:55;26:40.0;95384;25472.846
900;Metro Appliance Service;1450 Harding Ave.;49;1;28/11/1989 12:40;01:36.0;56200;32800.8456
901;Hibop Heating and Air Conditio;225 Jeffrys Place;8;6;15/07/1970 04:20;20:00.0;87938;73260.816
902;John G. Hartling Ltd.;12 Craven Way;38;14;26/07/1970 09:02;26:40.0;13400;20250.2272
903;Hardee Woodwork Ltd.;1550 Ridge Rd.;14;49;01/03/2002 16:27;54:56.0;8510;60728.3098
904;AAA Daniels Antiques;14836 W. River Oaks Dr.;37;14;14/03/1970 10:53;08:16.0;56656;9370.5742
905;Dapper's Antiques;2510 Crain;7;18;22/09/1990 19:15;13:20.0;37824;12254.1935
906;Camp Stuff;42 Valley Rd.;8;39;01/09/1990 04:33;46:40.0;30388;46496.264
907;Pac Builders;2267 Anderson Lane;23;18;14/06/1994 14:20;26:40.0;94848;18350.0421
908;Corbins, Rodriguez, & Savocchi;1660 Park Ave.;41;29;24/04/2001 22:47;06:40.0;49456;25884.3592
